Marketing Channel,Device Category,Users,Pages / Session,Avg. Session Duration,TotalNumberOfInsurancePoliciesPurchaed,Revenue,TotalNumberOfInsuranceQuotes
(Other),desktop,1,1,0,0,0,0
Affiliates,desktop,11,3.36,266,0,0,3
Affiliates,mobile,4,4.83,138.5,0,0,4
Aggregators,desktop,15,1.94,125.79,9,114.89,4
Aggregators,mobile,20,1.85,126.24,12,278,10
Aggregators,tablet,1,2.5,98.5,2,16.8,0
Direct,desktop,34,1.97,24.87,0,0,4
Direct,mobile,93,2.04,92.57,3,37.89,20
Direct,tablet,1,2,25,0,0,0
Display,desktop,2,1,0,0,0,0
Display,mobile,1,1,0,0,0,0
Email,desktop,13,1.53,92.33,1,22.23,1
Email,mobile,67,1.52,46.04,1,27.68,4
Organic Search,desktop,93,2.02,60.49,0,0,9
Organic Search,mobile,272,1.53,70.4,2,39.03,8
Organic Search,tablet,3,1.33,23.67,0,0,0
Paid Search,desktop,63,1.94,61.86,0,0,15
Paid Search,mobile,216,3.08,152.52,7,282.03,88
Paid Search,tablet,4,6.5,494.5,0,0,3
Paid Social,mobile,13,7.38,584.62,1,10.37,12
Referral,desktop,11,3.11,388.56,0,0,8
Referral,mobile,17,3.85,188.4,2,36.01,11
Social,mobile,4,1.75,79,0,0,1
Affiliates,desktop,3,1,0,0,0,0
Affiliates,mobile,5,7.17,429.5,0,0,4
Aggregators,desktop,15,2.28,148.59,15,483.69,1
Aggregators,mobile,23,2.45,187.66,16,239.26,9
Direct,desktop,16,3.06,85.39,0,0,2
Direct,mobile,83,2.24,100.22,1,14.26,16
Direct,tablet,3,1,3.33,0,0,0
Display,mobile,1,1,0,0,0,0
Email,desktop,6,1.29,11.43,0,0,0
Email,mobile,43,1.86,94.9,1,12.59,4
Organic Search,desktop,29,1.42,45.16,0,0,2
Organic Search,mobile,237,1.27,32.99,0,0,7
Organic Search,tablet,1,1,0,0,0,0
Paid Search,desktop,22,3.12,108.92,0,0,8
Paid Search,mobile,168,3.34,146.3,8,399.74,95
Paid Search,tablet,3,0.67,77,0,0,0
Paid Social,mobile,12,4.15,129.31,0,0,7
Paid Social,tablet,1,3,109,0,0,1
Referral,mobile,9,4,145.56,0,0,6
Social,mobile,1,1,0,0,0,0
Social,tablet,1,3,108,0,0,1
(Other),mobile,2,1,0,0,0,0
Affiliates,desktop,4,5.4,356.2,1,36.13,3
Affiliates,mobile,7,2.14,24.29,0,0,0
Aggregators,desktop,15,2.45,149.77,12,252.7,2
Aggregators,mobile,18,2.09,117.29,8,277.29,7
Direct,desktop,12,2.71,241.86,1,10.56,4
Direct,mobile,80,2.28,91.94,1,14.99,19
Direct,tablet,3,9.8,483.6,0,0,4
Display,mobile,1,7,301,0,0,1
Display,tablet,1,1,0,0,0,0
Email,desktop,5,5.8,571.4,1,19.48,2
Email,mobile,38,1.61,21.07,0,0,5
Organic Search,desktop,21,1.5,17.18,0,0,0
Organic Search,mobile,227,1.31,24.03,1,11.22,8
Organic Search,tablet,5,1,0,0,0,0
Paid Search,desktop,21,3.17,107.79,2,33.97,5
Paid Search,mobile,183,3.88,156.57,6,126,115
Paid Search,tablet,2,4.5,97,0,0,2
Paid Social,mobile,14,3.2,127.47,0,0,6
Paid Social,tablet,1,1,0,0,0,0
Referral,desktop,4,2.25,57.75,0,0,1
Referral,mobile,15,5.06,202.76,1,17.3,11
Referral,tablet,1,3,537,0,0,1
Social,mobile,3,3.33,101,0,0,1
(Other),desktop,1,1,0,0,0,0
(Other),mobile,5,1.2,4.6,0,0,0
Affiliates,desktop,12,3.25,98.75,1,9.49,6
Affiliates,mobile,10,5.6,291.3,4,79.14,6
Aggregators,desktop,19,2.54,152,16,486.45,1
Aggregators,mobile,47,2.26,128.73,27,1094.95,9
Aggregators,tablet,2,2.5,233.75,2,30.75,0
Direct,desktop,37,2.21,109.79,1,11.1,3
Direct,mobile,101,2.1,147.75,0,0,20
Direct,tablet,2,1.5,9,0,0,0
Display,desktop,1,2,7,0,0,0
Email,desktop,17,2.06,92.28,0,0,2
Email,mobile,50,2.31,138.31,5,85.31,7
Organic Search,desktop,78,2.67,182.56,2,266.52,8
Organic Search,mobile,266,1.23,35.37,0,0,10
Organic Search,tablet,3,1,0,0,0,0
Paid Search,desktop,45,2.8,160.49,3,60.26,13
Paid Search,mobile,306,3.66,170.51,12,201.84,184
Paid Search,tablet,4,4.2,95,0,0,3
Paid Social,desktop,1,1,0,0,0,0
Paid Social,mobile,13,4.64,226.57,2,103.43,7
Referral,desktop,9,2.57,107.36,0,0,4
Referral,mobile,18,3.18,275.82,1,32.87,17
Referral,tablet,1,1,0,0,0,1
Social,mobile,6,3.67,113,0,0,4
Social,tablet,1,7,78,0,0,1
Affiliates,desktop,5,4.8,290,1,15.69,2
Affiliates,mobile,4,7,381.5,2,33.11,2
Aggregators,desktop,25,2.55,168.5,14,396.08,2
Aggregators,mobile,27,2.31,195.5,9,352.24,8
Aggregators,tablet,1,1,0,0,0,0
Direct,desktop,36,2.64,154.46,3,47.62,6
Direct,mobile,119,2.07,187.99,2,25.85,24
Direct,tablet,1,7.5,191.5,0,0,1
Display,desktop,1,1,0,0,0,0
Email,desktop,7,2.5,364.5,0,0,1
Email,mobile,54,1.72,98.39,0,0,3
Organic Search,desktop,81,1.53,122,0,0,3
Organic Search,mobile,233,1.31,41.11,2,190.74,9
Organic Search,tablet,4,1.25,3.5,0,0,1
Paid Search,desktop,45,1.6,36.46,0,0,3
Paid Search,mobile,232,2.94,105.73,5,80.39,113
Paid Search,tablet,5,4,331.4,0,0,3
Paid Social,desktop,1,3,103,0,0,1
Paid Social,mobile,8,4.11,123.22,0,0,6
Referral,desktop,7,3.75,438.5,0,0,3
Referral,mobile,18,4.19,232.9,1,18.04,18
Referral,tablet,1,2,85,0,0,1
Social,mobile,5,3,120.2,0,0,3
(Other),desktop,1,1,0,0,0,0
Affiliates,desktop,4,3.8,91.8,1,19.53,2
Affiliates,mobile,4,3.5,87.25,0,0,2
Aggregators,desktop,21,2.3,153.35,13,259.96,4
Aggregators,mobile,30,2.43,137.57,14,312.54,4
Direct,desktop,30,2.43,64.74,2,104.6,5
Direct,mobile,91,2.17,95.5,3,160.13,19
Direct,tablet,3,3,44.67,0,0,1
Email,desktop,8,1.38,6.5,0,0,0
Email,mobile,51,1.78,31.14,0,0,4
Organic Search,desktop,59,1.94,78.29,2,23.37,3
Organic Search,mobile,268,1.26,43.25,0,0,1
Organic Search,tablet,2,2,570,0,0,0
Paid Search,desktop,42,2.54,89.35,0,0,13
Paid Search,mobile,252,3.19,139.98,8,134.05,138
Paid Search,tablet,4,3.6,135.8,0,0,2
Paid Social,mobile,10,3,175.92,0,0,6
Paid Social,tablet,1,8,880,0,0,1
Referral,desktop,12,2.69,131.77,0,0,1
Referral,mobile,25,3.07,181.37,1,6.82,15
Social,mobile,1,1,0,0,0,0
Affiliates,desktop,5,9.4,366.2,3,386.87,4
Affiliates,mobile,4,5.25,452,1,12.8,2
Aggregators,desktop,23,2.03,121.32,11,399.12,2
Aggregators,mobile,29,3.82,306.62,17,624.74,14
Aggregators,tablet,1,2,81.5,1,17.64,0
Direct,desktop,31,3.42,165.39,3,104.29,5
Direct,mobile,62,2.55,76.62,3,42.37,13
Direct,tablet,1,10,1815,1,30.29,0
Email,desktop,12,1.46,6,0,0,0
Email,mobile,39,1.98,97.65,1,19.56,2
Organic Search,desktop,68,1.96,128.74,2,41.26,6
Organic Search,mobile,238,1.42,74.36,1,17.59,8
Organic Search,tablet,4,1.25,70,0,0,0
Paid Search,desktop,29,2.42,185.77,1,32.85,7
Paid Search,mobile,184,2.92,119.16,9,241.02,92
Paid Search,tablet,1,4,244,0,0,0
Paid Social,mobile,6,5.5,192.17,2,20.41,3
Referral,desktop,9,5,304.5,0,0,3
Referral,mobile,11,1.4,54.4,0,0,7
Social,mobile,3,4.67,127.33,0,0,1
Affiliates,desktop,2,1,0,0,0,0
Affiliates,mobile,5,1.71,52,0,0,2
Aggregators,desktop,23,2.2,193.8,15,615.89,3
Aggregators,mobile,34,3,234.74,21,472.12,12
Direct,desktop,25,2.74,132.26,1,18.87,6
Direct,mobile,74,2.18,96.48,2,58.8,18
